id,rate
01001,2	
01073,4	
02020,1	
05035,1	
05061,2	
05069,1	
05075,1	
05109,1	
05119,4	
05133,1	
05139,1	
06001,2	
06019,16	
06037,62	
06045,2	
06059,1	
06075,26	
06081,2	
06083,2	
06085,2	
06089,1	
06097,2	
06111,1	
08031,3	
08093,4	
09009,2	
09015,1	
10003,2	
11001,15	
12011,1	
12031,2	
12033,1	
12057,4	
12086,2	
12087,1	
12095,3	
12099,1	
12103,1	
12105,7	
13021,1	
13051,1	
13059,1	
13115,1	
13121,8	
13319,2	
15001,2	
16031,1	
17019,2	
17031,15	
17119,1	
17167,8	
18061,2	
18141,1	
19169,1	
20125,3	
21067,1	
21111,1	
21227,2	
22025,1	
22033,1	
22055,2	
22071,6	
22073,3	
22103,1	
22109,1	
22123,2	
22125,3	
23005,1	
24031,1	
24041,2	
24043,1	
24510,4	
25009,1	
25013,1	
25017,1	
25021,1	
25025,14	
25027,3	
26049,1	
26065,1	
26073,1	
26081,2	
26087,1	
26161,1	
26163,13	
27001,2	
27035,2	
27053,3	
27123,2	
28017,1	
28027,1	
28029,2	
28035,1	
28043,1	
28045,1	
28049,1	
28071,1	
28077,1	
28083,2	
28087,1	
28089,3	
28093,1	
28119,1	
28123,1	
28133,5	
28149,2	
28151,1	
29021,1	
29077,1	
29091,1	
29095,2	
29131,1	
29143,1	
29207,1	
29217,1	
29510,2	
31041,1	
31055,1	
34003,1	
34005,8	
34007,1	
34013,4	
34015,1	
34021,1	
34023,1	
34025,2	
34027,1	
34031,2	
35053,1	
35057,1	
36029,2	
36047,14	
36055,1	
36059,1	
36061,73	
36067,1	
36071,1	
36075,1	
36081,4	
36085,3	
36103,5	
36119,2	
36123,1	
37005,1	
37047,1	
37063,1	
37081,1	
37085,1	
37097,1	
37119,4	
37123,5	
37135,3	
37159,1	
38093,1	
39025,1	
39035,9	
39049,2	
39057,1	
39061,2	
39071,1	
39089,4	
39095,1	
39113,1	
39141,1	
39145,2	
39167,1	
40009,1	
40015,2	
40097,1	
40109,1	
40125,2	
40135,1	
40143,3	
41013,2	
41051,3	
42003,1	
42027,6	
42029,2	
42043,1	
42101,10	
42107,1	
44003,1	
45059,1	
45075,1	
46027,1	
47015,6	
47037,9	
47051,1	
47053,1	
47079,1	
47085,1	
47093,1	
47133,1	
47143,1	
47157,7	
47189,3	
48029,3	
48095,6	
48113,10	
48145,1	
48185,1	
48201,5	
48245,1	
48279,2	
48303,1	
48365,1	
48373,1	
48439,2	
48453,1	
48479,1	
49035,1	
51710,1	
51760,1	
53033,6	
53061,1	
53063,1	
54095,1	
55017,1	
55025,3	
55059,1	
55073,1	
55079,1	
72107,1	
72127,1	
